comparison,session_id,reference_frame,phase_label,x_a,y_a,x_b,y_b,pixel_distance,pct_image_diagonal,over_10px,over_25px,over_50px
inter_rater,e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,47,follow_through,189.0,469.0,220.0,534.0,72.01388754955533,3.269038683407843,1,1,1
inter_rater,e940142a-d4bc-4cee-a6de-828b05ab40a7,1,backswing,789.0,988.0,700.0,1020.0,94.57801012920498,4.293327082215255,1,1,1
inter_rater,e940142a-d4bc-4cee-a6de-828b05ab40a7,25,backswing,1252.0,186.0,1245.0,140.0,46.52956049652737,2.1121888896838565,1,1,0
inter_rater,e940142a-d4bc-4cee-a6de-828b05ab40a7,34,downswing,1028.0,393.0,958.0,300.0,116.40017182117903,5.283934493564268,1,1,1
inter_rater,e940142a-d4bc-4cee-a6de-828b05ab40a7,39,downswing,1142.0,270.0,1149.0,229.0,41.593268686170845,1.8881080987455754,1,1,0
inter_rater,e940142a-d4bc-4cee-a6de-828b05ab40a7,43,impact_region,792.0,988.0,708.0,1079.0,123.84264209067892,5.621782150995146,1,1,1
inter_rater,e940142a-d4bc-4cee-a6de-828b05ab40a7,49,follow_through,1126.0,330.0,1088.0,268.0,72.71863585079137,3.3010304219071873,1,1,1
inter_rater,eb859af6-2991-42e4-9345-05d3baf63c6e,2,backswing,624.0,1052.0,711.0,1085.0,93.04837451562494,6.335834921642347,1,1,1
inter_rater,eb859af6-2991-42e4-9345-05d3baf63c6e,111,backswing,12.0,164.0,96.0,136.0,88.54377448471462,6.029108422308601,1,1,1
inter_rater,eb859af6-2991-42e4-9345-05d3baf63c6e,170,downswing,87.0,324.0,134.0,413.0,100.64790112068906,6.853300662478366,1,1,1
inter_rater,eb859af6-2991-42e4-9345-05d3baf63c6e,229,downswing,391.0,777.0,344.0,858.0,93.64827814754524,6.376683463065307,1,1,1
inter_rater,eb859af6-2991-42e4-9345-05d3baf63c6e,247,follow_through,485.0,942.0,628.0,854.0,167.90771274721124,11.433144916016028,1,1,1
inter_rater,eb859af6-2991-42e4-9345-05d3baf63c6e,265,follow_through,101.0,402.0,128.0,442.0,48.25971404805462,3.286092671321122,1,1,0
inter_rater,f0647c16-5b92-48b6-a06a-d05d86fe8145,9,backswing,1202.0,1028.0,1149.0,1071.0,68.24954212300622,3.0981578819981093,1,1,1
