session_id,pipeline_variant,valid_samples,stage_changed_points,mean_dev_m,p95_dev_m,max_dev_m,rms_jerk,smoothness_index,path_efficiency,max_speed,max_accel
7a0c087a-b6c7-42ea-bc67-63453d4cac7f,median_only,300,297,0.09937021440616865,0.4762159674839347,1.6065615463335317,20450.958706230267,-8.621427343617409,0.16707459107681139,55.297726673447016,1614.438617033937
7a0c087a-b6c7-42ea-bc67-63453d4cac7f,kalman_only,93,299,0.0514153512436233,0.2705826691442539,0.4340945562798954,1946.5949093150718,-6.578551166570177,0.9151212510854003,4.391644051277981,26.119779201797765
7a0c087a-b6c7-42ea-bc67-63453d4cac7f,kalman_rts,300,300,3.0582412731745867,4.109155163001123,4.317921814262458,3.9189847219247045,-1.1863471408162107,0.5505229550090999,1.0772284730407145,0.38383357896372294
7a0c087a-b6c7-42ea-bc67-63453d4cac7f,kalman_rts_despike,300,0,3.0582412731745867,4.109155163001123,4.317921814262458,3.9189847219247045,-1.1863471408162107,0.5505229550090999,1.0772284730407145,0.38383357896372294
7a0c087a-b6c7-42ea-bc67-63453d4cac7f,full_pipeline,300,300,0.021940751593550484,0.026553955164453063,0.027282722322788534,17489.844357508286,-8.485571889400342,0.16228675435112527,55.110359269480696,1458.5633077828668
7f7bf52f-1a8f-4c38-8d68-41b634af50ab,raw,69,0,0.0,0.0,0.0,96837.71508398298,-9.972089067154325,0.06739366308849612,71.65342794168696,3581.5965411240845
7f7bf52f-1a8f-4c38-8d68-41b634af50ab,median_only,69,64,0.3380580498808573,1.408520955911947,2.3980069077851764,86026.5804355307,-9.869265319996574,0.07535134565167907,71.2596864896307,3562.704753422865
7f7bf52f-1a8f-4c38-8d68-41b634af50ab,kalman_only,13,68,0.047524035823715456,0.13650089883912853,0.13699394022624092,1296.6068200108218,-6.225616603229246,0.6330632760407918,0.676332328254092,32.35438495059437
7f7bf52f-1a8f-4c38-8d68-41b634af50ab,kalman_rts,69,69,1.408744430837892,2.8979097480270184,3.0520015287598485,0.16036545535498722,1.5897783395611653,0.6764531028869069,0.04653995541629535,0.013878714440796261
7f7bf52f-1a8f-4c38-8d68-41b634af50ab,kalman_rts_despike,69,0,1.408744430837892,2.8979097480270184,3.0520015287598485,0.16036545535498722,1.5897783395611653,0.6764531028869069,0.04653995541629535,0.013878714440796261
7f7bf52f-1a8f-4c38-8d68-41b634af50ab,full_pipeline,69,69,0.01929761620925415,0.024935914426488064,0.025708613602444953,90699.22383460257,-9.915207141136918,0.06768129398938924,69.5758565397743,3412.7765570955235
81085f86-e4f0-4e28-98d2-e8063faed5b4,raw,184,0,0.0,0.0,0.0,3404.9115969160503,-7.064211681267097,0.1625575064009496,33.21163354771514,259.8959080922869
81085f86-e4f0-4e28-98d2-e8063faed5b4,median_only,184,128,0.17032864402532008,0.9498785544566668,2.10913312263847,4260.07557907809,-7.258834608198581,0.1774797537414285,30.50615710344707,500.2194472443709
81085f86-e4f0-4e28-98d2-e8063faed5b4,kalman_only,78,183,0.06960395970549688,0.3533593486264856,1.8684463646462037,476.91558154884365,-5.356883023438243,0.7398324004427712,2.7183700948121237,38.304447686331464
81085f86-e4f0-4e28-98d2-e8063faed5b4,kalman_rts,184,184,2.046622917670259,3.559916245554156,4.183651609000277,0.38022043793064003,0.8399290815533815,0.5391303100461571,0.26794664107306043,0.047942739282998414
81085f86-e4f0-4e28-98d2-e8063faed5b4,kalman_rts_despike,184,0,2.046622917670259,3.559916245554156,4.183651609000277,0.38022043793064003,0.8399290815533815,0.5391303100461571,0.26794664107306043,0.047942739282998414
81085f86-e4f0-4e28-98d2-e8063faed5b4,full_pipeline,184,184,0.02105684816139585,0.025667409320575978,0.026315435894895045,2578.6800343724203,-6.822794915429642,0.16457692809867228,32.16234642839717,251.50949081224542
81681211-21c8-4d55-9d89-095b3a80d022,raw,695,0,0.0,0.0,0.0,22461.482024259905,-8.702876815847665,0.018336283935729124,53.04157124540341,2651.903910411947
