scenario,metric,n,median_abs_symmetric_pct_change,median_abs_change_ci_lower,median_abs_change_ci_upper,mean_abs_symmetric_pct_change,p95_abs_symmetric_pct_change,rank_stability_spearman,rank_stability_ci_lower,rank_stability_ci_upper,response_class
frame_thinning_3x,backswing_peak_speed,70,86.49903311498917,57.958988795791306,103.82471587945145,91.58465184601283,199.16794111074927,0.35907840901468907,0.0789015028952902,0.6425234878022189,high
jitter_sigma_0p004,max_speed,71,23.256993082734876,9.699937554129026,56.08686174533298,50.13859166092272,161.88440358525204,0.5164989939637826,0.29234661624829383,0.7085670729511897,moderate
jitter_sigma_0p004,max_ang_vel,70,36.3516559636475,25.67073622551695,74.61403504136187,71.60683893044059,200.0,0.7595086365923193,0.6001620311405715,0.8696466906282534,high
jitter_sigma_0p004,max_accel,71,40.05423035020837,22.644865448875738,59.89605856265056,57.91030779064839,161.05885243237384,0.4488262910798121,0.21361670029443294,0.6433098260038002,high
jitter_sigma_0p004,swing_tempo,68,130.52208835341364,100.0,157.01737341622712,120.13572362208357,200.0,0.14333563721380768,-0.09815457546921784,0.3717185969612423,high
jitter_sigma_0p004,smoothness_index,71,9.368253755816374,6.027157450688964,12.116685053884504,12.194001664167697,34.107899629967044,0.7031187122736418,0.5486972061865023,0.8194931870646859,low
jitter_sigma_0p004,path_efficiency,71,23.17868449028606,13.319767208524357,28.910743890082916,30.97796401717098,100.36522332075116,0.5909902427872707,0.3708510608794963,0.7652443121405191,moderate
jitter_sigma_0p004,curvature_rms,68,124.22769032776381,95.29148921948645,157.31295634546854,114.28924165637429,200.0,0.47215437459829385,0.23297579948658942,0.6727719773321239,high
jitter_sigma_0p004,backswing_peak_speed,68,158.56288394150562,144.8811576754096,179.9605546235512,140.2294459811266,200.0,0.33045770803736974,0.08230124337150392,0.5458484115130304,high
jitter_sigma_0p008,max_speed,71,59.18445807512211,25.525881939432935,78.30360417303794,66.30430031416078,167.13590947125297,0.2715291750503018,0.006540970251799719,0.5228936719901902,high
jitter_sigma_0p008,max_ang_vel,70,86.4742004324062,48.78845915043122,117.06504040701994,92.46040607431377,200.0,0.5906842634728231,0.3689384524875841,0.7669236377611938,high
jitter_sigma_0p008,max_accel,71,57.706713632234084,35.61447079975552,66.0756537524644,67.19095939852232,163.89430191590472,0.23537894030851775,-0.0461383806027391,0.464191718032854,high
jitter_sigma_0p008,swing_tempo,68,166.62143826322927,131.20921302516294,183.46226923654746,133.9819178665936,200.00000000000003,0.10608438358099916,-0.13189100254238725,0.325518642111337,high
jitter_sigma_0p008,smoothness_index,71,15.773308289069774,12.848986985254015,17.751706351481157,17.85384052827101,50.80053097958819,0.536452045606975,0.2978467954883727,0.7208238243139639,moderate
jitter_sigma_0p008,path_efficiency,71,27.816543560769198,19.953926875226887,38.01256242282698,39.576264902851456,120.93607600701868,0.4413031701140515,0.17939550388066222,0.6456167907250346,high
jitter_sigma_0p008,curvature_rms,68,174.64220348005782,147.29000440742567,185.5553121407899,144.79248588644393,200.0,0.13784326637241134,-0.10390566390890243,0.374261027166101,high
jitter_sigma_0p008,backswing_peak_speed,68,192.33658728308995,176.83126545728973,197.39422095483013,166.20369453293208,200.0,0.11382305361840697,-0.13886798835603756,0.35279419365630155,high
landmark_dropout_10pct,max_speed,71,25.14987940837547,1.6141689127082703,81.8854370989422,59.458639122699104,177.69715940424015,0.4765928906773977,0.2504780892046864,0.6747171524312315,high
landmark_dropout_10pct,max_ang_vel,69,14.716864640109932,2.7770254186214256,33.46522398481411,43.09960437027621,173.9954426578604,0.8181170319010539,0.6250138557725861,0.9468901023418441,moderate
landmark_dropout_10pct,max_accel,71,61.98670647525262,10.676673317051954,118.71389629448655,77.97963664162548,192.61849545966547,0.31552649228705565,0.057012126664122684,0.5703889605870746,high
landmark_dropout_10pct,swing_tempo,69,95.08196721311472,89.47368421052632,129.67032967032966,98.63789173877497,190.00550439249346,0.13387781120747222,-0.13242862892124488,0.3611557058050142,high
landmark_dropout_10pct,smoothness_index,71,14.06551598838915,5.016345111376322,22.774730263272847,19.764036404801164,61.124788937203355,0.3499329309188463,0.11290497818870336,0.5759505378605302,moderate
landmark_dropout_10pct,path_efficiency,71,20.218055801836144,4.359656127236371,38.54477916909676,46.67532964223038,161.5915581887856,0.41611402234918565,0.14524836032189267,0.6552738803230589,moderate
landmark_dropout_10pct,curvature_rms,69,26.538094830296192,15.192908262042014,41.67591691530568,41.48616510963459,128.75881398961516,0.8878306437518007,0.766150911876994,0.9577181530658866,high
