session_id,point_name,frame_idx,phase,auto_x_px,auto_y_px,ref_x_px,ref_y_px,error_px,error_norm,error_m,error_visible_club_fraction,viewpoint,fps_bucket,resolution_bucket,quality_grade,motion_class,club,quality_note
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,stick_tip_1,100,backswing,899.7670319886334,1858.3978048803997,893.0,1864.0,8.78506187190858,0.00398794011441725,0.012151342830481741,0.012151342830481741,dtl,<=30,1080p+,medium,regular,driver,
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,stick_tip_1,107,backswing,386.18930555920605,1500.2639394778914,379.0,1491.0,11.726324619149269,0.005323113374183255,0.016262635020460544,0.016262635020460544,dtl,<=30,1080p+,medium,regular,driver,
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,stick_tip_1,120,backswing,116.43330869658278,729.4354848585547,128.0,725.0,12.387972943101515,0.005623465714462545,0.018535240986297958,0.018535240986297958,dtl,<=30,1080p+,medium,regular,driver,
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,stick_tip_1,122,backswing,216.3926757840712,863.5804141859531,264.0,853.0,48.768867972784435,0.02213841265538324,0.0738476407149353,0.0738476407149353,dtl,<=30,1080p+,medium,regular,driver,
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,stick_tip_1,123,backswing,197.48797182087776,909.0337529389802,301.0,896.0,104.32937598504925,0.04735986037085331,0.15892731296787854,0.15892731296787854,dtl,<=30,1080p+,medium,regular,driver,
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,stick_tip_1,130,impact_region,324.41204801464687,1295.4565949152243,632.0,1672.0,486.2049815863484,0.2207106083222673,0.7723198554787464,0.7723198554787464,dtl,<=30,1080p+,medium,regular,driver,
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,stick_tip_1,132,impact_region,844.3975527599465,1621.033014921882,723.0,1472.0,192.2191596922896,0.08725704028876917,0.30900850418162396,0.30900850418162396,dtl,<=30,1080p+,medium,regular,driver,
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,stick_tip_1,134,follow_through,90.70627396921414,613.2624359879608,75.0,597.0,22.608712176029293,0.010263125238810972,0.03678286420830222,0.03678286420830222,dtl,<=30,1080p+,medium,regular,driver,
32fec03e-0046-4581-885b-ef0d7f174e53,stick_tip_1,71,backswing,533.8961738373622,875.6008976858484,532.0,871.0,4.976317387098817,0.0033884660152835038,0.015593245212295636,0.015593245212295636,dtl,<=30,720-1080p,medium,regular,iron,
32fec03e-0046-4581-885b-ef0d7f174e53,stick_tip_1,77,backswing,530.5864645238237,930.9046779730951,533.0,949.0,18.25556991036302,0.01243055324229641,0.057007567718035265,0.057007567718035265,dtl,<=30,720-1080p,medium,regular,iron,
32fec03e-0046-4581-885b-ef0d7f174e53,stick_tip_1,82,backswing,240.57897006337885,559.0690172061646,229.0,551.0,14.113170671468705,0.009609917428527947,0.04399620235713473,0.04399620235713473,dtl,<=30,720-1080p,medium,regular,iron,
32fec03e-0046-4581-885b-ef0d7f174e53,stick_tip_1,84,backswing,59.76466762202572,106.32719568935214,57.0,85.0,21.50564258589354,0.01464358749063183,0.06670444379548064,0.06670444379548064,dtl,<=30,720-1080p,medium,regular,iron,
32fec03e-0046-4581-885b-ef0d7f174e53,stick_tip_1,89,backswing,231.71570082466735,56.06459323066617,245.0,68.0,17.85851447711157,0.012160190896589887,0.05409710186973801,0.05409710186973801,dtl,<=30,720-1080p,medium,regular,iron,
32fec03e-0046-4581-885b-ef0d7f174e53,stick_tip_1,90,backswing,240.68024209167066,79.25642524420577,247.0,80.0,6.363351588380579,0.004332923108246216,0.019225810578087706,0.019225810578087706,dtl,<=30,720-1080p,medium,regular,iron,
32fec03e-0046-4581-885b-ef0d7f174e53,stick_tip_1,91,downswing,229.39144647785827,82.79521664414793,238.0,85.0,8.886408914168937,0.00605091923630873,0.026830650466194372,0.026830650466194372,dtl,<=30,720-1080p,medium,regular,iron,
