scenario,metric,n,median_abs_symmetric_pct_change,median_abs_change_ci_lower,median_abs_change_ci_upper,mean_abs_symmetric_pct_change,p95_abs_symmetric_pct_change,rank_stability_spearman,rank_stability_ci_lower,rank_stability_ci_upper,response_class
jitter_sigma_0p008,max_speed,71,60.81432611379903,35.81498089536776,91.2221087510597,74.93530059361744,169.43389155074553,0.28651911468812874,0.03207076507913688,0.5135177118165665,high
jitter_sigma_0p008,max_ang_vel,70,81.82124210718018,36.76384296752817,111.91497800426414,91.33050484686053,200.0,0.6308974232212547,0.42756727989777693,0.7950201333832224,high
jitter_sigma_0p008,max_accel,71,49.41805751546631,38.15805795732298,81.0519055550876,69.33331693799222,167.2135521995404,0.2414151576123407,-0.033339245334989186,0.4707902905626508,high
jitter_sigma_0p008,swing_tempo,68,160.65411699877637,140.2689075630252,184.5349045754767,135.70193223476807,200.0,0.1447022080289224,-0.07353795297243605,0.346810787301316,high
jitter_sigma_0p008,smoothness_index,71,12.616189990894009,10.689041744793498,15.633918580524181,16.401794762357554,43.142897326869566,0.5992957746478873,0.39922445387024036,0.7479020551823283,moderate
jitter_sigma_0p008,path_efficiency,71,24.817280347966772,17.625558913674112,32.41684234151022,36.62465688579607,110.96089340521023,0.4307943270341746,0.17053262142465156,0.6260529541653838,moderate
jitter_sigma_0p008,curvature_rms,68,157.36374738197526,135.91075880379668,180.25064553027346,138.9691554054983,200.0,0.0891204484566184,-0.1881162214652364,0.36229376699926347,high
jitter_sigma_0p008,backswing_peak_speed,68,179.8090476519442,159.19690390884801,193.54958185238286,157.37490167585406,200.0,0.13924217080836895,-0.09997928094212942,0.3807808322310607,high
landmark_dropout_10pct,max_speed,71,2.0187882612947554,0.2644868183708047,26.762778213687568,37.37492646656475,149.4458451451925,0.5950704225352111,0.39008134155096347,0.7693654400921259,low
landmark_dropout_10pct,max_ang_vel,70,1.9577982930283033,0.07167035959546726,14.450890480031376,39.031555111420225,179.33507818361085,0.8259834338458684,0.6422705514296572,0.9500580905468624,low
landmark_dropout_10pct,max_accel,71,13.674240252295839,0.5761780369033759,48.211074096484914,54.310682290789565,175.73698869859584,0.4331321260898725,0.19665256311446555,0.6409854195297705,moderate
landmark_dropout_10pct,swing_tempo,69,82.10526315789471,53.968253968253954,118.56738925541944,88.6857561355278,193.89627121139617,0.19330873745745628,-0.06747767624178516,0.4372615691131094,high
landmark_dropout_10pct,smoothness_index,71,4.980253524841612,1.302270918995359,12.939509427066136,11.748737115422589,35.40072330544146,0.5924211938296444,0.40477319882607515,0.7533546018354226,low
landmark_dropout_10pct,path_efficiency,71,3.1260761259131162,1.9947894914638757,6.995227023858084,25.170617596600753,156.89753960049552,0.5253405996212117,0.24622054394578527,0.7564021124576521,low
landmark_dropout_10pct,curvature_rms,69,28.92231047267395,10.737338324907842,38.18857757041455,39.19437723271243,122.25538683662683,0.9487319223290186,0.9067167310461746,0.9728003982064996,high
landmark_dropout_10pct,backswing_peak_speed,69,59.41797992026416,25.02069923044731,111.02821796761694,79.45127488769515,199.99957383398785,0.4909773975898611,0.22760288746382903,0.6874234521932335,high
landmark_dropout_20pct,max_speed,71,46.4594705704286,24.569048473087474,67.3539852359795,61.627732642050674,162.09129378573866,0.35050301810865186,0.09447620541875675,0.5535383359549295,high
