time,stick_speed,angular_velocity,acceleration,angular_acceleration,energy_proxy,jerk,time_norm,tip_x_m,tip_y_m,tip_x_m_raw,tip_y_m_raw,scale_m,hip_angle_deg,shoulder_angle_deg,x_factor_deg,wrist_angle_deg,arc_radius_px,curvature_1_m,path_efficiency,phase
0.54,3.3433138067036303,0.8967298356470802,123.7145133810586,37.58485510891412,11.17774721009512,5857.159151095763,0.3648648648648649,2.173690625871417,0.8319384941904369,2.1525498641767946,0.8098355347128795,0.0033983885482142956,-165.1150289882134,-147.41815756959386,17.69687141861953,119.84920048127445,,1.2218830430955456,0.38932322615735426,downswing
0.56,4.371092248354802,1.067745415744458,51.388922082558516,8.550779004868879,19.106447443627435,-3616.279564925001,0.3783783783783784,2.2554801666688937,0.8909335915014219,2.2405837731474336,0.8762136313396653,0.003418778879503582,-166.2291522225422,-149.63878141643076,16.590370806111455,107.34265408290213,,0.41930182692499773,0.36159227415989453,downswing
0.58,3.34755887911145,1.1797367252809166,-51.17666846216781,5.599565476822958,11.206150449117908,-5128.27952723634,0.3918918918918919,2.319149387253147,0.940650440866341,2.3262762240533554,0.9505714632910124,0.0034392915527806035,-166.10464792193235,-150.66690832145835,15.43773960047399,103.44660764882173,,0.5674555525161286,0.3402037803459251,downswing
0.6,2.148275502891661,0.5386990696906842,-59.9641688109894,-32.051882779511594,4.61508763632442,-439.375017441079,0.4054054054054054,2.3626541556579266,0.9774467836205316,2.3398653771775733,0.9562257933709452,0.003459927302097287,-165.49361507216747,-150.5497284415041,14.943886630663368,107.07151291174074,,0.4981265689138865,0.32556574469327415,downswing
0.62,5.975659658201813,1.9762339442035186,191.36920776550744,71.87674372564166,35.708508350660615,12566.668828824832,0.4189189189189189,2.4605681762636284,1.0685835856370927,2.44451799763539,1.059404216391843,0.003480686865909871,-167.1064300505376,-150.87397005157825,16.232459998959364,104.7474173588839,,0.21344316589118847,0.292648599042753,downswing
0.64,5.638293330351531,3.1245461900078793,-16.8683163925141,57.41561229021798,31.79035167908656,-10411.876207901067,0.43243243243243246,2.5494586494017155,1.156019304416852,2.5266656853509923,1.1387505059947916,0.0034973910872677003,-166.8796047352387,-149.97985739645,16.8997473387887,107.01760565105899,,0.19919065651823267,0.2636247700270652,downswing
0.66,5.132700117741783,3.540129838041336,-25.279660630487367,20.779182401672827,26.344610498666515,-420.567211898663,0.445945945945946,2.627797692847801,1.2368052663950395,2.6078710851328877,1.2265168068204626,0.0035107544643539637,-167.38503122698404,-149.86456583065365,17.520465396330405,104.964348666627,,0.0842577845520828,0.23876309631210824,downswing
0.68,4.25198606100777,4.938963418836447,-44.03570283670062,69.94167903975546,18.07938546300437,-937.8021103106619,0.4594594594594595,2.692114961833681,1.304292318209612,2.677899784181126,1.3058139936431816,0.0035214451660229747,-168.02131377257592,-150.86358583638273,17.15772793619321,105.82122518793369,,0.0807466174704108,0.2190551023574015,downswing
0.7000000000000001,2.840660220715192,4.5782615117000285,-70.56629201462883,-18.03509535682089,8.069350489553683,-1326.529458896409,0.472972972972973,2.7362679885057073,1.3500379575415402,2.730977333876191,1.3575383618453865,0.0035299977273581832,-169.37863091191787,-150.849255235963,18.529375675954878,98.35133568751915,,1.5459393297197905,0.20602508808167416,downswing
0.72,1.4453343192129586,2.341795634308552,-69.766295075112,-111.82329386957434,2.088991294294787,39.99984697584172,0.48648648648648646,2.771065981470292,1.380448675279983,2.747352685665147,1.3649982389933393,0.003551177713722333,-169.12265760562124,-150.78746868783676,18.335188917784482,98.3329769553024,,0.6199335011133861,0.19657772117880296,downswing
0.74,0.5457210509724129,1.9311262355050633,-44.98066341202725,-20.533469940174424,0.2978114654744348,1239.2815831542364,0.5,2.7913540116070523,1.3990132456048237,2.7761064248756493,1.3895126566366633,0.003572484780004667,-168.57714049947964,-151.165995019498,17.411145479981613,102.02717611823547,,17.1195867074454,0.19106435051214274,downswing
0.76,0.5857376341256968,-0.33032791227096653,2.000829157664195,-113.07270738880139,0.34308857603116866,2349.07462848457,0.5135135135135135,2.796416956501443,1.4082392013040645,2.7809870757828636,1.4030658954937851,0.0035939196886846953,-169.94997251491816,-150.9925592993676,18.95741321555056,103.01414263667974,,130.40355418441584,0.18922292672144297,downswing
0.78,1.686510333425014,-3.4123693847241645,55.03863496496581,-154.10207362265976,2.844317104749352,2651.8902903650783,0.5270270270270271,2.781367156987213,1.4055223443236637,2.7689243458194897,1.3967921975789883,0.0036154832068168033,-170.37954361195463,-151.77083545884025,18.60870815311439,98.45847147648323,,7.336802770360775,0.19125090368806927,downswing
0.8,2.985863207171231,-5.236664206801995,64.9676436873108,-91.21474110389146,8.915379091938869,496.450436117249,0.5405405405405406,2.743325064745302,1.3900651785617277,2.7349235583584672,1.3841723878703613,0.0036371761060577045,-168.59639951373185,-150.21272193723294,18.383677576498904,98.50873133752458,,0.7081481380266657,0.1969038710265823,downswing
0.8200000000000001,3.956702533008597,-4.246660429146539,48.54196629186827,49.50018888277277,15.65549493471665,-821.2838697721256,0.5540540540540541,2.687952004732261,1.3652059221870372,2.6582057198353115,1.351077624359282,0.003658999162694051,-171.94670581615648,-150.648534135011,21.298171681145472,112.53349394104013,,0.9259598499780748,0.20513698100971184,downswing
0.84,1.7460519960570549,-2.2464036578218933,-110.53252684757763,100.01283856623276,3.0486975729348256,-7953.724656972332,0.5675675675675675,2.6723300480568253,1.3588562648187241,2.674180678588927,1.358761041106665,0.0036809531576702153,-171.30721334828291,-150.92978485489928,20.377428493383608,112.59032446512641,,1.4269772312533977,0.2073893938669896,downswing
0.86,3.2203979171168386,-2.7470891250211826,73.71729605298913,-25.03427335996444,10.370962744570473,9212.491145028329,0.581081081081081,2.628477429165816,1.3433032779550818,2.630431652089147,1.3320794682529018,0.0037030388766162367,-171.90187008261228,-150.93219503020546,20.96967505240682,114.8642488779058,,1.3166988903313133,0.21350861063988053,downswing
0.88,4.84821303594764,-3.1275454875312443,81.39075594154,-19.022818125503065,23.505169641932632,383.67299442754296,0.5945945945945946,2.551520479557334,1.323014899557898,2.5357013884879094,1.293454163081172,0.0037252571098759344,-171.49041863094683,-151.97247972513608,19.517938905810748,175.97202290270872,,11.359138758659759,0.22361079178522475,downswing
0.9,4.143190305448603,-4.889045146764777,-35.25113652495181,-88.07498296167654,17.166025907163288,-5832.094623324585,0.6081081081081081,2.4924271894355,1.3674316306893488,2.459853992785723,1.3586796549334403,0.0037476086525351903,-168.74670944669387,-152.19786257787663,16.548846868817243,159.9442966927638,,5.88478321233982,0.22681130397966245,downswing
0.92,3.133202170647176,-0.44734727124633406,-50.499406740071294,222.0848937759219,9.816955842148177,-762.4135107559734,0.6216216216216216,2.46218466357453,1.419041352462731,2.42852566735182,1.4233278976333774,0.0037700943044504014,-164.69336273067123,-153.98002972193186,10.713333008739369,167.91326291373448,,8.122370473270669,0.22615406062286844,downswing
0.9400000000000001,2.040826189084149,-1.4077507455256808,-54.61879907815132,-48.020173713967296,4.1649715340517295,-205.9696169040011,0.6351351351351352,2.4576276564316855,1.4635046654179495,2.443194278201658,1.432571880772304,0.003792714870277104,-164.6412618476508,-154.45203483172125,10.189227015929566,166.9763966889942,,2.4575840948855094,0.2228875142212226,downswing
0.96,15.302033642007665,-5.739278933805352,663.0603726461788,-216.57640941398458,234.15223358113434,35883.95858621668,0.6486486486486487,2.568854610466667,1.7627203225027224,2.5460989062786483,1.7370033755495224,0.0038154711594987666,-173.59342376740537,-161.34029153248053,12.253132234924822,141.93098116943617,,0.38072664738287254,0.18558304971020764,downswing
0.98,45.36039662854394,-23.060203841126683,1502.9181493268125,-866.0462453660658,2057.56558229882,41992.88883403164,0.6621621621621622,3.086035433093779,2.5291110483820742,3.055564511559781,2.5128353294620656,0.0038383639864557595,177.33723134997638,-172.75089452249415,9.911874127529428,112.38754142443288,,0.10683547534359818,0.12513366182459687,downswing
1.0,59.6386512356289,-116.55838419307675,713.9127303542474,-4674.909017597499,3556.7687212049805,-39450.27094862822,0.6756756756756757,3.8770914599326933,3.4530704658073526,3.8938542508000022,3.483513008447514,0.0038613941703744947,30.427791600126035,95.90394476466554,65.47615316453951,78.4354843028178,,0.27971894992002533,0.1790735342814058,downswing
1.02,26.589236763079818,-10.338902955344988,-1652.4707236274526,5310.9740618865835,706.9875116431153,-118319.17269908488,0.6891891891891893,4.337352059806294,3.7768197582835024,4.361291584197252,3.8022986728078454,0.0038845625353967415,18.10437311263693,60.98700460791529,42.88263149527835,11.6686564398885,,3.099415802019451,0.21161109316935978,downswing
1.04,14.725166957300107,-2.8363659169661246,-593.203490288985,375.1268519189428,216.8305419203629,52963.36166692333,0.7027027027027027,4.254126323326472,3.525990846497823,4.241090237933136,3.493325150363875,0.003907869910609122,18.10519118651751,58.87454562950067,40.769354442983165,25.108518883523537,,1.5840642937323255,0.17800970084144346,downswing
1.06,3.479665979723766,-0.6958010673579145,-562.2750488788166,107.0282424804104,12.108075330446956,1546.4220705084174,0.7162162162162162,4.196147644601524,3.4432721435382767,4.215638006433237,3.4722947848169623,0.003884422691145468,18.10136959036315,58.87411750872706,40.77274791836391,25.11216277122702,,0.004836698530447126,0.16623721871570193,downswing
1.08,18.577450070437088,-1.8027396841672079,754.8892045356654,-55.34693084046462,345.12165111958296,65858.21267072405,0.7297297297297298,3.9675782152209558,3.1180051808377764,3.987096549255263,3.1467987435845384,0.003865061319249899,19.17215682974234,56.98329528469485,37.811138454952506,58.859553522212174,,0.017093769480993417,0.12310986367895081,downswing
1.1,32.53526940336594,16.03273249836037,697.8909666464418,891.7736091263781,1058.5437551495997,-2849.9118944611755,0.7432432432432433,3.5773173850654483,2.5732773989172637,3.5868816266965724,2.606577263654814,0.003849572221733444,16.574636211892404,54.91213810739524,38.33750189550284,122.21257511537448,,0.013504958872893802,0.06582327406068403,downswing
