session_id,samples,mean_dev_m,median_dev_m,p90_dev_m,p95_dev_m,p99_dev_m,max_dev_m,rms_jerk,frames_dev_over_3cm,frames_dev_over_5cm
81681211-21c8-4d55-9d89-095b3a80d022,2,0.03140968011375611,0.03140968011375611,0.03144577541824224,0.03145028733130301,0.031453896861751623,0.03145479924436378,15322.813242897711,2,0
82b83897-42aa-447f-82ea-5e471706e7c5,13,0.005665938134282614,0.005200192062665104,0.009636652974830082,0.012202717814904954,0.014537731142952742,0.015121484474964694,1228.8213113923148,0,0
82f22494-5871-41de-aebc-9d2012ce6571,13,0.01428623041558641,0.014030850782080922,0.023050145063951057,0.02307463121035628,0.023101879283994792,0.02310869130240442,1168.5011390085197,0,0
885e6026-a607-42b3-b29f-1ac055c9efb2,22,0.005507530123331329,0.004723584544069631,0.009284784396574373,0.01937842843328848,0.019905517435768696,0.019906614000887224,2769.3874203930804,0,0
88fc3423-a0c8-4e39-adb0-6cbc7c7f3051,98,0.009983198197309086,0.01005920728557751,0.018231381175036736,0.018251120264352043,0.01878973067486818,0.01889906722681655,1163.1286452921634,0,0
9895edcd-aed8-45b5-b115-250b78f8f3b1,25,0.013177066903633858,0.008951677144260083,0.026456780539888307,0.026536803843775762,0.026676790193327124,0.026715260167969105,202.19427617789634,0,0
98ca02b4-1780-4e48-89f1-c5a4b9ffcefd,11,0.00856549836472232,0.010039998036497669,0.014883668894623088,0.014973781104428801,0.01504587087227337,0.015063893314234512,1883.087488195333,0,0
9e290e83-fc93-4a9d-b112-46b06796dd0c,359,0.008976674055789034,8.271673955178211e-07,0.00010013812219035185,0.00984093748434607,0.03147833951410067,1.7113808195677285,116.08067312604894,5,2
9e75894c-aae0-4e99-8db9-345a28c0257f,86,0.0055972550076212385,0.0016722378003705862,0.0160250250074736,0.042637700669630164,0.04266039526915924,0.042666391805190176,419.3097733225093,7,0
a0314fc3-cfc4-4410-818c-e1700a837645,146,0.03437184669471956,0.005755300812830195,0.04086682882427776,0.0431361512610802,0.2647989772676803,2.6636788234183255,519.8613026408119,35,2
a2851803-3035-4cf9-94d5-e6c1bc2a63ac,44,0.006431962580124451,0.002817913325138489,0.018984597610420942,0.01905351939678543,0.019121495666238383,0.019135869636474137,2457.540494224623,0,0
ad5b9d10-eaa9-46a7-a12d-e0b832653a37,14,0.010614069057577674,0.010369479317403452,0.02211082929307659,0.022132393460435783,0.022147860173576214,0.02215172685186132,4862.379289029732,0,0
b3504d04-31ce-4fa2-b3cf-c32a539edd12,69,0.0022380489027935646,0.00014096578127723857,0.007720558024633267,0.008479678652999378,0.017084322265204604,0.017922644933670823,187.30904568211966,0,0
b760c52c-ec71-42b4-9e15-97ab9a0b91af,90,0.004898883547003879,0.0005669786739891637,0.017378411542825243,0.018221547398963756,0.01937370721829185,0.019374814790051573,1627.6905031045087,0,0
b95e3543-d28d-49db-be02-bbee7efb8425,2,0.010246482263563467,0.010246482263563467,0.01653275577661759,0.017318539965749353,0.017947167317054768,0.01810432415488112,1586.8939732735,0,0
ba749048-28f5-497e-8d85-fcbcfedb6f8c,111,0.007100177340734136,0.0005390734942222591,0.01964010605844087,0.020541427769785407,0.021089219036463346,0.021228415433445638,2807.8556859702917,0,0
c638dd17-dbb3-4068-bb40-957442fe9ec9,72,0.016301439078867528,0.01499379447256119,0.026778930197112746,0.03415745596484,0.0484735339659249,0.04950348497985247,216.69290700359045,7,0
c75201af-1cd8-410a-9c50-0f8082faa27e,73,0.004786003732134549,0.0021115019959850505,0.01126991996756266,0.015886244908752737,0.023056127327944518,0.029275423047787096,147.36702821040333,0,0
d7dbb43f-8a5d-42ed-9dd6-541afe3ab905,166,0.0011513055484129212,0.0001993410819022196,0.005317821339507898,0.008380184226418988,0.01021811631626359,0.010622368883900675,63.75276679043173,0,0
dfd57aa0-581d-4580-bc43-2a329277309b,109,0.004191548302839251,0.00026837880262526166,0.017439364133157435,0.019735099087864753,0.02394420054277674,0.024099364448752474,185.1582529732465,0,0
e1ca9666-7642-4aa1-aeee-3bb9a8644eaf,7,0.012099063552140995,0.012946173693718763,0.013117917180589097,0.013141614742737895,0.01316057279245693,0.01316531230488669,2081.9746972348644,0,0
e49b32ac-ecfa-4eb8-9ae1-e8569f2a3d82,55,0.008024022241031638,0.003976645752383438,0.027500759292878603,0.028259831201095716,0.028438242757095306,0.02849464922093614,168.83991478233418,0,0
e7490da1-a2fa-4e53-ab66-4e9927d0b4d3,10,0.009123835440250905,0.010709893391222185,0.014448056963859446,0.014479038170534706,0.014503823135874913,0.014510019377209964,828.872219125279,0,0
e940142a-d4bc-4cee-a6de-828b05ab40a7,12,0.01686976665583274,0.019305654219626104,0.024975687845754553,0.025130491052971448,0.025277717596735295,0.025314524232676255,2256.3184974718797,0,0
eb859af6-2991-42e4-9345-05d3baf63c6e,229,0.01605253482434089,0.01872548956086666,0.02670951229896109,0.027753164146349936,0.030749863114831185,0.030950224713497804,193.94133838218372,7,0
ed241630-f662-4957-b17f-1f485cf04683,27,0.009147919019235722,0.010222363575501991,0.015200495686753789,0.015311515722604639,0.01558303919282212,0.015677296213034122,623.6629527297781,0,0
ee9f203f-8208-4081-acb9-66b1ef4c3049,329,0.022588054559626647,0.025427720079230602,0.031056425143945934,0.032370932364052245,0.033334871878501905,0.09709223608167987,4397.472560076798,38,1
f0647c16-5b92-48b6-a06a-d05d86fe8145,28,0.006847971057690217,0.004161583135162765,0.020978488328402118,0.022657896382573726,0.022668914305158303,0.022672645548655584,3322.375244466534,0,0
fd63adbe-d98c-4936-8f31-ea097117898e,34,0.018046870406199376,0.0026608314373350686,0.06416139421675279,0.0646634342638378,0.06517605184831458,0.06530458373279881,492.5509490220294,10,7
